"ds";"y"
2021-06-15;"7591518.1200000"
2021-06-16;"10378733.3800000"
2021-06-17;"9993539.0400000"
2021-06-18;"3164580.9500000"
2021-06-19;"5794761.7200000"
2021-06-20;"1579028.1100000"
2021-06-21;"6561998.6200000"
2021-06-22;"7816257.9200000"
2021-06-23;"8671373.1500000"
2021-06-24;"9279191.3100000"
2021-06-25;"3362373.7500000"
2021-06-26;"5466936.7800000"
2021-06-27;"1962769.2800000"
2021-06-28;"7756259.9900000"
2021-06-29;"10120780.9600000"
2021-06-30;"15813620.9600000"
2021-07-01;"5370672.7500000"
2021-07-02;"2427940.1000000"
2021-07-03;"4794847.1100000"
2021-07-04;"2120512.3700000"
2021-07-05;"5918759.1900000"
2021-07-06;"7054428.1500000"
2021-07-07;"9346786.0600000"
2021-07-08;"8376220.5100000"
2021-07-09;"3384977.7600000"
2021-07-10;"4591159.5900000"
2021-07-11;"1987569.9900000"
2021-07-12;"6488029.7000000"
2021-07-13;"7925834.2900000"
2021-07-14;"7611320.4200000"
2021-07-15;"10226631.8200000"
2021-07-16;"4189089.4900000"
2021-07-17;"5804860.3700000"
2021-07-18;"2130086.9600000"
2021-07-19;"6445322.0400000"
2021-07-20;"7424519.7700000"
2021-07-21;"9124579.8300000"
2021-07-22;"8409897.1900000"
2021-07-23;"3406728.5700000"
2021-07-24;"5898791.9400000"
2021-07-25;"2458681.9100000"
2021-07-26;"7596398.4900000"
2021-07-27;"8797169.3800000"
2021-07-28;"9190706.7200000"
2021-07-29;"13367196.6300000"
2021-07-30;"6538182.5300000"
2021-07-31;"14473829.7600000"
2021-08-01;"349906.7500000"
2021-08-02;"4756318.6000000"
2021-08-03;"8097650.7500000"
2021-08-04;"11373055.4800000"
2021-08-05;"10585697.5100000"
2021-08-06;"5765475.1500000"
2021-08-07;"6967062.5800000"
2021-08-08;"2811828.7900000"
2021-08-09;"8102247.1500000"
2021-08-10;"10702225.9400000"
2021-08-11;"13324224.2600000"
2021-08-12;"12118838.1700000"
2021-08-13;"4996931.7900000"
2021-08-14;"6414146.9300000"
2021-08-15;"3894930.6800000"
2021-08-16;"9884650.3100000"
2021-08-17;"9189741.0900000"
2021-08-18;"9831387.0100000"
2021-08-19;"8392482.9700000"
2021-08-20;"3788057.5700000"
2021-08-21;"4869790.3000000"
